LeakID,MaxExCH4,Date,HoursSinceJan1,DaysSinceJan1,FracDay
1,0.449799884,20170314,1740.581071,72.5242112916667,0.524211291666674
1,3.67180043,20170314,1741.112813,72.5463672083333,0.546367208333336
1,0.636127659,20170314,1741.135458,72.54731075,0.547310749999994
1,2.314796242,20170314,1741.13835,72.54743125,0.547431250000003
1,0.648371345,20170314,1741.144912,72.5477046666667,0.547704666666661
1,0.273942106,20170314,1741.204815,72.550200625,0.550200625000002
1,0.336383856,20170328,2074.247262,86.42696925,0.426969249999999
1,0.710847131,20170328,2074.249997,86.4270832083333,0.427083208333329
1,0.468405787,20170328,2074.317101,86.4298792083333,0.429879208333333
1,0.751193843,20170328,2074.321811,86.4300754583333,0.43007545833332
1,0.48464573,20170328,2074.363094,86.4317955833333,0.431795583333326
1,1.21862285,20170328,2074.372619,86.4321924583333,0.432192458333347
1,3.176054208,20170329,2099.702141,87.4875892083334,0.487589208333347
1,2.149796482,20170424,2722.60541,113.441892083333,0.441892083333343
1,0.24659668,20170425,2746.043379,114.418474125,0.418474125000003
1,0.231835946,20170425,2746.199825,114.424992708333,0.424992708333335
1,0.823100036,20170425,2746.233793,114.426408041667,0.426408041666662
1,0.945140801,20170425,2746.240084,114.426670166667,0.426670166666668
1,0.465901277,20170425,2746.242257,114.426760708333,0.426760708333333
1,0.330486314,20170425,2746.357091,114.431545458333,0.431545458333332
1,2.41630995,20170425,2746.36197,114.43174875,0.431748749999997
1,0.282637411,20170501,2892.605572,120.525232166667,0.525232166666669
2,2.316343189,20170404,2241.738442,93.4057684166667,0.40576841666666
2,1.572815209,20170404,2241.999337,93.4166390416667,0.41663904166667
2,0.405519597,20170404,2242.044779,93.4185324583333,0.418532458333331
2,0.43109451,20170404,2242.099957,93.4208315416667,0.420831541666658
2,4.35291068,20170404,2245.102539,93.545939125,0.545939125000004
2,8.734997976,20170407,2312.217468,96.3423945,0.342394499999998
2,1.991739486,20170407,2312.25158,96.3438158333333,0.343815833333338
2,4.787332767,20170407,2312.289616,96.3454006666667,0.345400666666663
2,1.261606586,20170407,2312.360591,96.3483579583333,0.348357958333338
2,0.555401281,20170407,2312.372408,96.3488503333333,0.348850333333345
2,1.939314944,20170321,1910.719945,79.6133310416667,0.613331041666669
2,0.73893684,20170321,1910.868464,79.6195193333333,0.619519333333329
2,2.879737442,20170322,1930.429374,80.43455725,0.434557249999997
2,0.232583185,20170322,1930.436412,80.4348505,0.434850499999996
2,0.505226054,20170322,1930.440644,80.4350268333334,0.435026833333339
2,0.650756438,20170322,1930.551173,80.4396322083333,0.439632208333336
2,0.409523971,20170322,1930.612982,80.4422075833334,0.442207583333342
2,0.229475318,20170322,1930.65879,80.44411625,0.444116249999993
2,0.477590317,20170322,1930.662324,80.4442635,0.444263499999991
2,0.46392555,20170322,1930.689645,80.445401875,0.445401875000002
2,0.451184466,20170322,1930.760986,80.4483744166667,0.448374416666667
2,0.296526302,20170322,1931.370051,80.473752125,0.473752125000004
2,0.249464475,20170322,1931.37797,80.4740820833333,0.474082083333329
2,2.181540515,20170322,1931.419573,80.4758155416667,0.475815541666663
2,2.34369363,20170328,2076.634996,86.5264581666667,0.526458166666657
2,1.652661621,20170328,2077.175768,86.5489903333334,0.548990333333336
2,7.10142397,20170328,2077.250346,86.55209775,0.552097749999987
3,1.735671127,20170404,2242.506382,93.4377659166667,0.437765916666663
3,0.256719787,20170404,2245.416884,93.5590368333333,0.559036833333337
3,2.10499294,20170404,2245.419534,93.55914725,0.559147250000009
3,14.23193804,20170404,2245.443204,93.5601335,0.560133500000006
3,9.561739825,20170412,2432.619499,101.359145791667,0.359145791666663
3,4.622718493,20170412,2432.637453,101.359893875,0.359893874999997
3,0.479466352,20170412,2432.670193,101.361258041667,0.361258041666659
3,0.239277901,20170412,2432.674635,101.361443125,0.361443124999994
3,0.271483152,20170412,2432.735202,101.36396675,0.363966749999989
3,0.519472454,20170412,2432.836085,101.368170208333,0.368170208333325
3,0.27866167,20170321,1909.26654,79.5527725,0.552772500000003
3,2.059626882,20170321,1909.270996,79.5529581666667,0.55295816666667
3,11.05971219,20170321,1909.275619,79.5531507916667,0.553150791666667
3,11.31233444,20170321,1909.305264,79.554386,0.554386000000008
3,2.623943744,20170321,1909.333887,79.555578625,0.555578624999995
3,1.391282216,20170321,1909.493724,79.5622385,0.562238499999992
3,0.606586446,20170321,1909.499232,79.562468,0.562467999999996
3,1.136622182,20170321,1910.336106,79.59733775,0.597337749999994
3,3.032609195,20170321,1910.339903,79.5974959583333,0.59749595833334
3,0.755082006,20170328,2075.610256,86.4837606666667,0.483760666666669
3,11.00897106,20170328,2075.63125,86.4846354166667,0.484635416666663
3,0.852241187,20170328,2075.655959,86.4856649583333,0.485664958333345
3,2.985750453,20170328,2075.662409,86.4859337083333,0.485933708333334
3,0.316427507,20170328,2075.780059,86.4908357916667,0.490835791666669
3,1.323760619,20170328,2077.826627,86.5761094583333,0.576109458333335
3,0.605502262,20170328,2077.831944,86.576331,0.576330999999996
4,0.389168526,20170404,2240.885063,93.3702109583333,0.370210958333345
4,0.429131557,20170404,2240.893403,93.3705584583333,0.370558458333335
4,0.374398128,20170404,2244.523094,93.5217955833333,0.521795583333343
4,0.324814701,20170404,2244.532428,93.5221845,0.522184499999995
4,0.224712689,20170404,2244.538593,93.522441375,0.522441375000014
4,0.72382624,20170404,2244.568476,93.5236865,0.523686499999997
4,0.229828932,20170406,2292.295906,95.5123294166667,0.51232941666666
4,0.224539907,20170406,2292.305435,95.5127264583333,0.512726458333347
